judge,statutory_title,designated_title,term_begin,term_end,county,court_sitting_in,first_year_on_the_bench,supervsing_district_county,supervising_court_coordinating_judge__cj__court,certificated_title,certification_start_date,certification_end_date,supervising_judge_court
Diomarys Escano-Bell,Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx County,Bronx County Sup Ct Civil Term,2025,,,,,,
David Goodwin,Criminal Court Judge NYC,,2025-01-01,2025-12-31,Bronx County,NYC Criminal Ct - Bronx County,2025,,,,,,
Sophia Hershman,Civil Court Judge NYC,ACT FAM CT JGE,2023-01-01,2032-12-31,Bronx County,Bronx County Family Court,2023,,,,,,
Brenda L Rivera,Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx County,Bronx County Sup Ct Civil Term,2015,,,,,,
Wanda Y Negron,Civil Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,Bronx County,Bronx County Sup Ct Civil Term,2021,,,,,,
Edit Shkreli,Civil Court Judge NYC,,2024-01-01,2033-12-31,Bronx County,Bronx County Sup Ct Civil Term,2024,,,,,,
Linda M Poust Lopez,Criminal Court Judge NYC,ACT SUP CT JUS,2021-01-01,2027-12-31,Bronx County,NYC Criminal Ct - Bronx County,2011,,,,,,
Steven J Hornstein,Criminal Court Judge NYC,ACT SUP CT JUS,2016-01-01,2025-12-31,Bronx County,Bronx County Supreme Court,2013,,,,,,
Deidra R Moore,Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx County,NYC Criminal Ct - Bronx County,2025,,,,,,
Carol E Malcolm,Civil Court Judge NYC,,2024-01-01,2032-12-31,Bronx County,Bronx County Sup Ct Civil Term,2024,,,,,,
Dawn Guglielmo,Civil Court Judge NYC,,2025-01-01,2034-12-31,Bronx County,Bronx County Sup Ct Civil Term,2025,,,,,,
Criag J Ortner,Criminal Court Judge NYC,,2023-12-11,2031-12-31,Bronx County,NYC Criminal Ct - Bronx County,2023,,,,,,
Hari K Singh,Family Court Judge NYC,,2023-02-15,2028-02-18,Bronx County,Bronx County Family Court,2023,,,,,,
Jessica I Bourbon,Civil Court Judge NYC,,2020-01-01,2029-12-31,Bronx County,Bronx County Sup Ct Civil Term,2020,,,,,,
Jessica I Flores,Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx County,Bronx County Supreme Court,2022,,,,,,
Eliezer Rodriguez,Civil Court Judge NYC,,2025-01-01,2029-12-31,Bronx County,Bronx County Sup Ct Civil Term,2025,,,,,,
Verena C Powell,Civil Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Bronx County,Bronx County Supreme Court,2022,,,,,,
Jeffrey A Gershuny,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Kings County,Kings Supreme Criminal,2018,,,,,,
Jacqueline Deane,Family Court Judge NYC,,2025-01-01,2030-12-31,Kings County,Kings Supreme Criminal,2015,,,,,,
Marjorie Steinberg,Family Court Judge NYC,,2025-01-01,2034-12-31,Kings County,Kings Supreme Criminal,2023,,,,,,
Archana Rao,Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-01,2033-12-31,Kings County,Kings Supreme Criminal,2019,,,,,,
Keshia J Espinal,Criminal Court Judge NYC,ACT SUP CT JUS,2021-01-01,2030-12-31,Kings County,"NYC Criminal Ct, Kings County",2017,Kings,Criminal,,,,
Philip Tisne,Civil Court Judge NYC,,2025-01-01,2025-12-31,Kings County,"NYC Criminal Ct, Kings County",2025,,,,,,
Michele Davila,Civil Court Judge NYC,,2023-01-01,2032-12-31,Kings County,"NYC Civil Court, Kings County",2023,,,,,,
Laura Paley,Family Court Judge NYC,,2024-12-11,2035-03-04,Kings County,Kings Supreme Criminal,2025,,,,,,
Abraham L Clott,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2025-12-31,New York County,New York County Criminal Court,2004,,,,,,
Stephen M Antignani,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,New York County,New York County Criminal Court,2012,,,,,,
Jaimee Nelsen,Family Court Judge NYC,,2025-01-01,2034-12-31,New York County,New York County Family Court,2025,,,,,,
Karen Lupuloff,Family Court Judge NYC,ACT SUP CT JUS,2015-12-23,2025-12-22,New York County,New York County Family Court,2005,NYC,Family,,,,
Steven M Statsinger,Criminal Court Judge NYC,ACT SUP CT JUS,2024-01-01,2032-12-31,New York County,New York County Criminal Court,2013,,,,,,
Elizabeth L Fassler,Family Court Judge NYC,,2019-01-28,2025-09-13,Queens County,Queens County Family Court,2019,,,,,,
Joan L Piccirillo,Family Court Judge NYC,,2020-06-02,2030-06-01,Queens County,Queens County Family Court,2012,,,,,,
Edwin I Novillo,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Queens County,Queens Supreme Criminal Term,2018,Queens,Criminal,,,,
Dean T Kusakabe,Family Court Judge NYC,,2015-12-29,2025-12-28,Queens County,Queens County Family Court,2012,,,,,,
Anthony M Battisti,Criminal Court Judge NYC,,2023-10-31,2030-12-31,Queens County,Queens Supreme Criminal Term,2021,,,,,,
Jerry M Iannece,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2025-12-31,Queens County,Queens Supreme Criminal Term,2017,,,,,,
Emily P Ruben,Family Court Judge NYC,,2023-12-31,2029-12-31,Queens County,Queens County Family Court,2015,,,,,,
Raja Rajeswari,Criminal Court Judge NYC,ACT SUP CT JUS,2019-01-01,2028-12-31,Richmond County,Richmond Cnty Supreme Ct-Civil,2015,,,,,,
Raymond L Rodriguez,Criminal Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Richmond County,Richmond Cnty Supreme Ct-Civil,2013,,,,,,
Biju J Koshy,Criminal Court Judge NYC,ACT SUP CT JUS,2021-12-23,2028-12-31,Richmond County,Richmond Cnty Supreme Ct-Civil,2021,Richmond,Criminal,,,,
Ben Darvil Jr,Family Court Judge NYC,ACT SUP CT JUS,2023-12-31,2033-12-30,Richmond County,Richmond County Family Court,2016,Richmond,Family,,,,
Jessica Baldi,Family Court Judge NYC,,2023-04-13,2025-12-22,Kings County,Kings Supreme Criminal,2023,,,,,,
Herbert J. Moses,Criminal Court Judge NYC,ACT SUP CT JUS,2018-01-01,2027-12-31,Kings County,Kings Supreme Criminal,2017,,,,,,
Matthew P Blum,Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Kings County,Kings Supreme Criminal,2020,,,,,,
Danielle L Hartman,Criminal Court Judge NYC,ACT SUP CT JUS,2022-01-01,2031-12-31,Queens County,Queens Supreme Criminal Term,2017,,,,,,
Matthew J Titone,Surrogate Court Judge,,2019-01-01,2031-12-31,Richmond County,Richmond County Surrogates Ct,2019,,,,,,
Peter Delizzo,Family Court Judge NYC,,2025-01-01,2031-12-31,Richmond County,Richmond County Surrogates Ct,2015,,,,,,
Mary Kavanagh,Civil Court Judge NYC,,2023-01-01,2032-12-31,Richmond County,"NYC Civil Ct, Richmond County",2023,,,,,,
Robert J Helbock Jr,Civil Court Judge NYC,ACT SUP CT JUS,2020-01-01,2029-12-31,Richmond County,"NYC Civil Ct, Richmond County",2020,Richmond,Civil,,,,
Michael Pinto,Civil Court Judge NYC,,2024-01-01,2033-12-31,Richmond County,"NYC Civil Ct, Richmond County",2024,,,,,,
Norman A Sammut,District Court Judge,,2023-01-01,2027-12-31,Nassau County,"Nassau District Ct, 2nd Dist",2022,,,,,,
Michele M Johnson,District Court Judge,,2025-01-01,2030-12-31,Nassau County,"Nassau District Ct, 1st Dist",2025,,,,,,
Robert G Bogle,County Judge,ACT SUP CT JUS,2016-01-01,2025-12-31,Nassau County,Nassau County Court,2016,Nassau,Town & Villiage,,,,
Charles Mcquair,District Court Judge,,2025-01-01,2030-12-31,Nassau County,"Nassau District Ct, 4th Dist",2024,,,,,,
Felice J Muraca,County Judge,ACT SUP CT JUS,2016-01-01,2025-12-31,Nassau County,Nassau County Court,2016,,,,,,
Lisa Daniels,Family Court Judge,,2025-01-01,2034-12-31,Nassau County,Nassau County Family Court,2025,,,,,,
Sylvia A Cabana,Family Court Judge,,2023-01-01,2032-12-31,Nassau County,Nassau County Family Court,2023,,,,,,
Arieh Schulman,District Court Judge,,2023-01-01,2028-12-31,Nassau County,"Nassau District Ct, 1st Dist",2023,,,,,,
Joseph Nocella,Family Court Judge,,2025-01-01,2034-12-31,Nassau County,Nassau County Family Court,2022,,,,,,
Meryl J Berkowitz,County Judge,ACT SUP CT JUS,2020-01-01,2025-12-31,Nassau County,Nassau County Court,2000,,,,,,
Andrea C Phoenix,District Court Judge,ACT CNTY JGE,2025-01-01,2029-12-30,Nassau County,"Nassau District Ct, 1st Dist",2007,,,,,,
Corey E Klein,City Court Judge,,2025-01-01,2034-12-31,Nassau County,Long Beach City Court,2015,,,,,,
Jeffrey A Goodstein,County Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Nassau County,Nassau County Court,2012,Nassau,Supreme,,,,
Howard E Sturim,County Judge,ACT SUP CT JUS,2016-01-01,2025-12-31,Nassau County,Nassau County Court,2016,,,,,,
Anthony W Paradiso,District Court Judge,ACT CNTY JGE,2024-01-01,2029-12-31,Nassau County,"Nassau District Ct, 2nd Dist",2006,,,,,,
Robin M Kent,Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Nassau County,Nassau County Family Court,2009,,,,,,
William A Hohauser,District Court Judge,,2022-01-01,2027-12-31,Nassau County,"Nassau District Ct, 1st Dist",2016,,,,,,
Jospeh Capobianco,City Court Judge,,2023-01-01,2028-12-31,Nassau County,Glen Cove City Court,2023,,,,,,
Madeleine C Petrara-Perrin,District Court Judge,,2024-01-01,2029-12-31,Nassau County,"Nassau District Ct, 1st Dist",2023,,,,,,
Caryn R Fink,County Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Nassau County,Nassau County Court,2021,,,,,,
Stuart Jablonski,City Court Judge,,2020-01-01,2025-12-31,Nassau County,Glen Cove City Court,2020,,,,,,
William Miller,City Court Judge,,2019-01-01,2028-12-31,Nassau County,Long Beach City Court,2019,,,,,,
David W Wright,District Court Judge,,2021-01-01,2026-12-31,Nassau County,"Nassau District Ct, 4th Dist",2021,,,,,,
Segal N Blakeman,Family Court Judge,,2024-01-01,2033-12-31,Nassau County,Nassau County Family Court,2024,,,,,,
Maxine S Broderick,District Court Judge,ACT CNTY JGE,2024-01-01,2029-12-31,Nassau County,"Nassau District Ct, 2nd Dist",2018,,,,,,
James Saladino,District Court Judge,,2025-03-24,2025-12-31,Nassau County,"Nassau District Ct, 4th Dist",2019,,,,,,
Rhonda E Fischer,County Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Nassau County,Nassau County Court,2008,,,,,,
Tammy S Robbins,County Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Nassau County,Nassau County Court,2005,,,,,,
Lisa M Petrocelli,District Court Judge,,2021-01-01,2026-12-31,Nassau County,"Nassau District Ct, 1st Dist",2021,,,,,,
Ellen R Greenberg,Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Nassau County,Nassau County Family Court,2007,Nassau,Family,,,,
Les Wright,District Court Judge,,2025-01-01,2030-12-31,Nassau County,"Nassau District Ct, 1st Dist",2025,,,,,,
Marie Mccormack,District Court Judge,,2023-01-01,2028-12-31,Nassau County,"Nassau District Ct, 2nd Dist",2022,,,,,,
Robert E Pipia,District Court Judge,,2021-01-01,2026-12-31,Nassau County,"Nassau District Ct, 2nd Dist",2015,,,,,,
Ignatius L Muscarella,District Court Judge,,2021-01-01,2026-12-31,Nassau County,"Nassau District Ct, 2nd Dist",2015,,,,,,
Darlene D'shon Harris,Family Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Nassau County,Nassau County Family Court,2015,,,,,,
Veronica Irwin,District Court Judge,,2025-01-01,2030-12-31,Nassau County,"Nassau District Ct, 1st Dist",2024,,,,,,
Margaret C Reilly,Surrogate Court Judge,ACT SUP CT JUS,2016-01-01,2025-12-31,Nassau County,Nassau County Surrogate's Ct,2012,,,,,,
Helene F Gugerty,County Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Nassau County,Nassau County Court,2013,,,,,,
Christopher E Hoefenkrieg,County Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Nassau County,Nassau County Court,2021,,,,,,
Geoffrey Prime,District Court Judge,,2023-01-01,2028-12-31,Nassau County,"Nassau District Ct, 1st Dist",2023,,,,,,
Joseph B Girardi,County Judge,ACT SUP CT JUS,2024-01-01,2029-12-31,Nassau County,Nassau County Court,2015,,,,,,
David I Levine,District Court Judge,,2022-01-01,2027-12-31,Nassau County,"Nassau District Ct, 1st Dist",2021,,,,,,
Ayesha K Brantley,Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Nassau County,Nassau County Family Court,2017,,,,,,
Catherine Rizzo,County Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Nassau County,Nassau County Family Court,2019,,,,,,
Christopher J Coschignano,Family Court Judge,,2025-01-01,2033-12-31,Nassau County,Nassau County Family Court,2021,,,,,,
Colin F O'donnell,County Judge,ACT SUP CT JUS,2024-01-01,2032-12-31,Nassau County,Nassau County Court,2012,,,,,,
Joy M Watson,Family Court Judge,ACT SUP CT JUS,2023-01-01,2028-12-31,Nassau County,"Nassau District Ct, 1st Dist",2013,,,,,,
Karen L Moroney,District Court Judge,,2020-01-01,2025-12-31,Nassau County,"Nassau District Ct, 3rd Dist",2020,,,,,,
Lisa Locurto,District Court Judge,,2025-01-01,2030-12-31,Nassau County,"Nassau District Ct, 1st Dist",2025,,,,,,
Eileen J Goggin,Family Court Judge,ACT SUP CT JUS,2023-01-01,2031-12-31,Nassau County,Nassau County Family Court,2017,,,,,,
Teresa K Corrigan,County Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Nassau County,Nassau County Court,2013,Nassau,County,,,,
Ryan E Cronin,District Court Judge,,2025-01-01,2030-12-31,Nassau County,"Nassau District Ct, 1st Dist",2025,,,,,,
Eric P Milgrim,Family Court Judge,,2024-01-01,2033-12-31,Nassau County,Nassau County Family Court,2024,,,,,,
Tricia M Ferrell,District Court Judge,ACT CNTY JGE,2021-01-01,2026-12-31,Nassau County,"Nassau District Ct, 2nd Dist",2008,Nassau,District,,,,
Jaclene Agazarian,President Board of Judges,,2023-01-01,2028-12-31,Nassau County,"Nassau District Ct, 1st Dist",2022,,,,,,
David Goodsell,District Court Judge,ACT CNTY JGE,2020-01-01,2025-12-31,Nassau County,"Nassau District Ct, 1st Dist",2008,,,,,,
Stephen L Ukeiley,District Court Judge,ACT CNTY JGE,2022-01-01,2027-12-31,Suffolk County,"Suffolk Dist Ct, First Dist",2016,,,,,,
James F Quinn,County Judge,ACT SUP CT JUS,2019-01-01,2026-12-31,Suffolk County,Suffolk County Supreme Court,2009,,,,,,
Philip Goglas,County Judge,ACT SUP CT JUS,2025-01-01,2029-12-31,Suffolk County,Suffolk County Court,2011,,,,,,
George Harkin,Family Court Judge,ACT SUP CT JUS,2016-01-01,2025-12-31,Suffolk County,Suffolk County Court,2016,,,,,,
Roseann Orlando,District Court Judge,,2020-01-01,2025-12-31,Suffolk County,"Suffolk Dist Ct, Second Dist",2020,,,,,,
John Iliou,County Judge,ACT SUP CT JUS,2023-01-01,2032-12-31,Suffolk County,Suffolk County Supreme Court,2006,,,,,,
Alonzo G Jacobs,District Court Judge,,2021-01-01,2026-12-31,Suffolk County,Suffolk County Family Court,2021,,,,,,
Bronwyn Black-Kelly,District Court Judge,,2023-01-01,2028-12-31,Suffolk County,"Suffolk Dist Ct, Third Dist",2023,,,,,,
Anna Acquafredda,District Court Judge,ACT CNTY JGE,2024-01-01,2029-12-31,Suffolk County,Suffolk County Family Court,2023,,,,,,
Patricia M Blake,District Court Judge,,2025-01-01,2026-12-31,Suffolk County,Suffolk County Family Court,2025,,,,,,
Frank A Tantone,Family Court Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Suffolk County,Suffolk County Family Court,2017,,,,,,
James A Mcdonaugh,District Court Judge,ACT CNTY JGE,2025-01-01,2030-12-31,Suffolk County,Suffolk County Court,2012,,,,,,
Mary Catherine Mullen,District Court Judge,ACT CNTY JGE,2023-01-01,2028-12-31,Suffolk County,"Suffolk Dist Ct, First Dist",2023,,,,,,
Anthony S Senft Jr,County Judge,ACT SUP CT JUS,2017-01-01,2026-12-31,Suffolk County,Suffolk County Court,2016,,,,,,
Susan Berland,District Court Judge,,2024-01-01,2029-12-31,Suffolk County,Suffolk County Family Court,2023,,,,,,
David A Morris,County Judge,ACT SUP CT JUS,2018-01-01,2027-12-31,Suffolk County,Suffolk County Court,2011,,,,,,
Steven Weissbard,District Court Judge,,2024-01-01,2029-12-31,Suffolk County,Suffolk County Family Court,2024,,,,,,
Kenneth J Lauri,District Court Judge,,2025-01-01,2030-12-31,Suffolk County,"Suffolk Dist Ct, Second Dist",2024,,,,,,
Joseph Farneti,County Judge,ACT SUP CT JUS,2019-01-01,2027-12-31,Suffolk County,Suffolk County Court,1997,,,,,,
Paul L Damato,District Court Judge,,2025-01-01,2030-12-31,Suffolk County,Suffolk County Family Court,2025,,,,,,
Stuart P Besen,Family Court Judge,,2025-01-01,2034-12-31,Suffolk County,Suffolk County Family Court,2025,,,,,,
Jonathan Bloom,District Court Judge,,2022-01-01,2027-12-31,Suffolk County,"Suffolk Dist Ct, First Dist",2022,,,,,,
Christopher C Brocato,Family Court Judge,,2025-01-01,2034-12-31,Suffolk County,Suffolk County Family Court,2025,,,,,,
Karen Kerr,Family Court Judge,ACT SUP CT JUS,2019-01-01,2028-12-31,Suffolk County,Suffolk County Family Court,2012,Suffolk,District,,,,
Jennifer A Henry,District Court Judge,ACT CNTY JGE,2021-01-01,2026-12-31,Suffolk County,"Suffolk Dist Ct, First Dist",2009,,,,,,
Pierce Fox Cohalan,District Court Judge,ACT CNTY JGE,2021-01-01,2026-12-31,Suffolk County,Suffolk County Family Court,2015,Suffolk,Town & Villiage,,,,
James C Hudson,County Judge,ACT SUP CT JUS,2021-01-01,2029-12-31,Suffolk County,Suffolk County Supreme Court,2001,,,,,,
James W Malone,Family Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Suffolk County,Suffolk County Family Court,2018,,,,,,
Frank Scott Carrigan,District Court Judge,ACT CNTY JGE,2022-01-01,2027-12-31,Suffolk County,Suffolk County Supreme Court,2022,,,,,,
Karen M Wilutis,County Judge,ACT SUP CT JUS,2023-01-01,2028-12-31,Suffolk County,Suffolk County Supreme Court,2014,,,,,,
Bernard C Cheng,District Court Judge,,2022-01-01,2027-12-31,Suffolk County,"Suffolk Dist Ct, First Dist",2011,,,,,,
John B Zollo,District Court Judge,,2025-01-01,2029-12-31,Suffolk County,Suffolk County Family Court,2025,,,,,,
Rosamaria Abbate,Family Court Judge,,2023-01-01,2032-12-31,Suffolk County,Suffolk County Supreme Court,2023,,,,,,
Vincent Messina Jr,Surrogate Court Judge,,2023-01-01,2032-12-31,Suffolk County,Suffolk County Surrogate's Ct,2023,,,,,,
Victoria Gumbs,Family Court Judge,ACT SUP CT JUS,2020-01-01,2029-12-31,Suffolk County,Suffolk County Family Court,2020,,,,,,
Carl J Copertino,Family Court Judge,,2025-01-01,2026-12-31,Suffolk County,Suffolk County Family Court,2013,,,,,,
Eric Sachs,District Court Judge,ACT CNTY JGE,2025-01-01,2029-12-31,Suffolk County,Suffolk County Family Court,2019,,,,,,
Matthew G Hughes,Family Court Judge,ACT SUP CT JUS,2016-01-01,2025-12-31,Suffolk County,Suffolk County Family Court,2016,,,,,,
Evan M Zuckerman,District Court Judge,ACT CNTY JGE,2023-01-01,2028-12-31,Suffolk County,"Suffolk Dist Ct, First Dist",2023,,,,,,
Edward J Hennessey,President Board of Judges,ACT CNTY JGE,2020-01-01,2025-12-31,Suffolk County,"Suffolk Dist Ct, First Dist",2018,,,,,,
John Kelly,District Court Judge,ACT CNTY JGE,2020-01-01,2025-12-31,Suffolk County,"Suffolk Dist Ct, First Dist",2001,,,,,,
Steven Pilewski,County Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Suffolk County,Suffolk County Family Court,2022,,,,,,
Peter R Mcgreevy,County Judge,ACT SUP CT JUS,2025-01-01,2034-12-31,Suffolk County,Suffolk County Court,2025,,,,,,
Caren L Loguercio,Family Court Judge,ACT SUP CT JUS,2021-01-01,2030-12-31,Suffolk County,Suffolk County Family Court,2011,Suffolk,Family,,,,
Evan Tanenbaum,District Court Judge,ACT CNTY JGE,2025-01-01,2030-12-31,Suffolk County,Suffolk County Family Court,2024,,,,,,
James F Leonick,District Court Judge,,2025-02-27,2025-12-31,Suffolk County,Suffolk County Family Court,2025,,,,,,
Mary Porter,Family Court Judge,ACT SUP CT JUS,2022-01-01,2031-12-31,Suffolk County,Suffolk County Family Court,2022,,,,,,
Andrea Harum Schiavoni,Family Court Judge,,2020-01-01,2029-12-31,Suffolk County,Suffolk County Family Court,2020,,,,,,
Madeline Singas,Associate Judge COA,,2021-06-08,2035-06-07,Nassau County,Court of Appeals - Chambers,2021,,,,,,
Ellen F Gesmer,,,,,New York County,Appellate Division - 1st Dept,2012,,,"ASC JUS, AP DIV, TPCT",2021-06-15,2026-12-31,
Catherine R Nugent,Supreme Court Justice,,2025-01-01,2034-12-31,Erie County,Erie County Supreme Court,2011,,,,,,
Nancy Quinn Koba,Supreme Court Justice,,2020-01-01,2030-12-31,Westchester County,Westchester County Supreme Ct,2020,,,,,,9/SJ/SUPREME
Lisa M Fisher,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2015-01-01,2028-12-31,Greene County,Albany County Supreme Court,2015,,,,,,
William J Giacomo,,,,,Westchester County,Westchester County Supreme Ct,2005,,,"SUP CT JUS, CERT",2021-06-15,2026-12-31,9/SJ/TOWN&VILLAGE
Robert M Dibella,Supreme Court Justice,,2012-01-01,2025-12-31,Westchester County,Westchester County Supreme Ct,2012,,,,,,
Adam D Perlmutter,Supreme Court Justice,,2025-01-01,2034-12-31,Kings County,Kings County Supreme Court,2025,,,,,,
Lisa Sokoloff,Supreme Court Justice,,2023-01-01,2027-12-31,New York County,New York County Supreme Court,2023,,,,,,
Reginald A Boddie,Supreme Court Justice,,2017-01-01,2029-12-31,Kings County,Kings County Supreme Court,2017,,,,,,
Eric I Prus,Supreme Court Justice,,2019-01-01,2028-12-31,Kings County,Kings County Supreme Court,2005,,,,,,
Mario Giacobbe,Court of Claims Judge,SUP CT JUSTICE,2023-08-01,2032-07-31,Niagara County,Erie County Supreme Court,2023,,,,,,
Kathy G Bergmann,Supreme Court Justice,,2021-01-01,2026-12-31,Suffolk County,Suffolk County Supreme Court,2021,,,,,,
Jessica G Earle-Gargan,Supreme Court Justice,,2024-01-01,2037-12-31,Queens County,Queens County Supreme Court,2024,,,,,,
William K Taylor,Supreme Court Justice,ADMNV JGE,2016-01-01,2029-12-31,Monroe County,Monroe County Supreme Court,2016,,,,,,AJ/07/SUP
Justin O Corcoran,Supreme Court Justice,,2020-01-01,2033-12-31,Albany County,Albany County Supreme Court,2020,,,,,,
Kyle Mcgovern,Supreme Court Justice,,2025-01-01,2036-12-31,Orange County,Westchester County Supreme Ct,2025,,,,,,
Alison Y Tuitt,Supreme Court Justice,,2018-01-01,2031-12-31,Bronx County,Bronx County Sup Ct Civil Term,2004,,,,,,
Michele S Rodney,Court of Claims Judge,SUP CT JUSTICE,2018-06-20,2026-06-30,New York County,New York County Supreme Ct/CRM,2018,,,,,,
Cheryl E Chambers,,,,,Kings County,Appellate Div 2nd Dept/Chamber,1999,,,"ASC JUS, AP DIV, TPCT",2022-01-01,2027-12-31,
Kelly Oneill-Levy,Supreme Court Justice,"ASC JUS, AP DIV, TEMP",2017-01-01,2030-12-31,New York County,New York County Supreme Court,2017,,,,,,
Edmund M Dane,Supreme Court Justice,,2017-01-01,2027-12-31,Nassau County,Nassau County Supreme Court,2017,,,,,,
Kevin J Kerrigan,Supreme Court Justice,,2021-01-01,2025-12-31,Queens County,Queens County Supreme Court,2007,,,,,,
David Friedman,,,,,New York County,Appellate Division - 1st Dept,1998,,,"ASC JUS, AP DIV, TPCT",2021-06-15,2026-12-31,
David F Everett,,,2019-01-01,2022-12-31,Westchester County,Westchester County Supreme Ct,2019,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,
Kevin M Nasca,Supreme Court Justice,,2020-01-01,2033-12-31,Monroe County,Monroe County Supreme Court,2020,,,,,,
Ellen N Biben,Court of Claims Judge,ADMNV JGE,2018-08-27,2027-08-26,New York County,New York County Supreme Ct/CRM,2015,,,,,,AJ/NY/SUP/CR
Elizabeth Burns,Court of Claims Judge,,2024-06-06,2027-08-26,Cortland County,Bronx County Supreme Court,2024,,,,,,6/SJ/TOWN&VILLAGE
Craig Walker,Supreme Court Justice,,2023-01-01,2035-12-31,Kings County,Kings County Supreme Court,2023,,,,,,
Rory Mcmahon,Supreme Court Justice,,2021-01-01,2034-12-31,Onondaga County,Onondaga County Supreme Court,2021,,,,,,
Patsy D Gouldborne,Supreme Court Justice,,2022-01-01,2035-12-31,Bronx County,Bronx County Sup Ct Civil Term,2022,,,,,,
R Bruce Cozzens Jr,,,,,Nassau County,Nassau County Supreme Court,1998,,,"SUP CT JUS, CERT",2020-01-01,2025-12-31,
Peter F Vallone,Court of Claims Judge,SUP CT JUSTICE,2017-06-19,2022-12-31,Queens County,Queens County Supreme Court,2017,,,,,,
Stephen T Miller,Court of Claims Judge,SUP CT JUSTICE,2024-04-01,2033-03-31,Monroe County,Monroe County Supreme Court,2022,,,,,,
Hal B Greenwald,,,,,Westchester County,Westchester County Supreme Ct,2019,,,"SUP CT JUS, CERT",2022-01-01,2027-12-31,
Alexander M Tisch,Supreme Court Justice,"SUP CT JUS, DST 1 AT",2019-01-01,2032-12-31,New York County,New York County Supreme Court,2019,,,,,,
Peter P Sweeney,Supreme Court Justice,,2017-01-01,2025-12-31,Kings County,Kings County Supreme Court,2017,,,,,,
Joseph A Mcbride,Supreme Court Justice,,2019-01-01,2028-12-31,Broome County,Broome County Supreme Court,2019,,,,,,
Karen Lin,Supreme Court Justice,,2024-01-01,2037-12-31,Queens County,Queens County Supreme Court,2024,,,,,,
Fidel Gomez,Supreme Court Justice,,2023-01-01,2036-12-31,Bronx County,Bronx County Sup Ct Civil Term,2023,,,,,,
Lawrence S Knipel,,,,,Kings County,Kings County Supreme Court,1998,,,"SUP CT JUS, CERT",2023-01-01,2028-12-31,
Dennis E Ward,,,,,Niagara County,Niagara County Supreme Court,2015,,,"SUP CT JUS, CERT",2022-01-01,2027-12-31,
John B Collins,Supreme Court Justice,,2012-01-01,2025-12-31,Suffolk County,Suffolk County Supreme Court,2012,,,,,,
Leslie A Stroth,Supreme Court Justice,,2024-01-01,2029-12-31,New York County,Suffolk County Supreme Court,2024,,,,,,
Michael J Garcia,Associate Judge COA,,2016-02-08,2030-02-07,New York County,NYS Court of Appeals,2016,,,,,,
Laurentina S Mcketney-Butler,Supreme Court Justice,,2022-01-01,2031-12-31,Queens County,Queens County Supreme Court,2022,,,,,,
Verna L Saunders,Supreme Court Justice,,2018-01-01,2031-12-31,New York County,New York County Supreme Court,2018,,,,,,
Ruth Pickholz,,,,,New York County,New York County Supreme Ct/CRM,2019,,,"SUP CT JUS, CERT",2020-01-01,2025-12-31,
Thomas E Moran,,,2012-01-01,2024-12-31,Monroe County,Monroe County Supreme Court,2012,,,"SUP CT JUS, CERT",2025-01-01,2030-12-31,
J Scott Odorisi,Court of Claims Judge,,2024-04-01,2033-03-31,Monroe County,Court of Claims,2013,,,,,,
John B Licata,Supreme Court Justice,,2022-01-01,2035-12-31,Erie County,Erie County Supreme Court,2022,,,,,,8/SJ/SUPREME
